LineItemId,OrderId,ProductId,Quantity
1,1,73,1
2,32,59,3
3,32,288,4
4,32,153,3
5,32,17,1
6,34,129,2
7,34,3,1
8,34,235,2
9,30,290,4
10,37,31,3
11,25,25,2
12,25,106,4
13,25,103,1
14,26,231,4
15,26,206,3
16,26,104,3
17,27,76,1
18,27,236,2
19,27,233,2
20,27,14,2
21,27,29,4
22,27,31,3
23,27,165,2
24,29,218,1
25,29,13,3
26,37,204,4
27,37,269,2
28,37,285,1
29,37,254,1
30,37,276,1
31,37,36,4
32,37,28,4
33,25,109,2
34,35,227,4
35,35,55,1
36,17,166,2
37,17,93,4
38,17,137,2
39,17,126,3
40,17,115,2
41,4,192,1
42,4,178,2
43,4,293,1
44,4,2,4
45,5,95,4
46,6,27,2
47,6,237,3
48,6,193,2
49,6,217,1
50,17,62,4
51,35,227,1
52,18,69,1
53,18,246,2
54,35,153,1
55,36,40,3
56,36,35,2
57,20,20,4
58,20,76,3
59,20,158,3
60,20,171,4
61,20,256,4
62,20,5,3
63,20,70,1
64,19,236,3
65,19,53,4
66,19,143,2
67,19,131,4
68,18,98,4
69,18,194,1
70,18,260,2
71,18,265,1
72,18,46,2
73,7,89,1
74,25,161,2
75,117,152,4
76,110,187,3
77,110,43,1
78,110,245,3
79,110,29,2
80,110,122,4
81,111,186,1
82,111,235,1
83,111,55,3
84,111,15,4
85,111,103,4
86,111,135,3
87,111,114,1
88,112,16,1
89,112,258,2
90,112,19,4
91,113,277,1
92,113,222,1
93,113,227,3
94,117,99,4
95,113,238,1
96,117,106,1
97,109,32,1
98,1639,116,4
99,1639,132,1
100,1639,91,2
101,1640,89,4
102,1640,98,3
103,1640,34,4
104,1640,197,1
105,107,211,3
106,108,175,1
107,108,262,2
108,108,98,4
109,109,128,1
110,109,129,4
111,109,289,1
112,109,248,4
113,109,251,1
114,109,34,2
115,25,182,1
116,113,113,1
117,21,288,1
118,21,236,3
119,21,117,3
120,22,101,1
121,22,101,2
122,22,91,2
123,22,90,3
124,22,90,4
125,22,189,4
126,22,284,1
127,23,8,4
128,23,35,3
129,23,197,3
130,23,185,2
131,23,282,2
132,23,179,4
133,23,124,2
134,23,104,1
135,23,75,1
136,24,4,3
137,24,206,4
138,113,75,3
139,75,239,2
140,75,169,4
141,113,111,3
142,114,122,2
143,114,23,3
144,115,74,3
145,115,292,3
146,116,249,2
147,116,2,1
148,116,4,1
149,116,200,3
150,116,269,4
151,116,269,4
152,116,132,3
153,116,17,4
154,116,77,1
155,77,71,2
156,76,55,3
157,75,99,3
158,75,185,4
159,75,250,1
160,7,143,1
161,7,113,3
162,70,168,3
163,71,222,1
164,71,45,4
165,71,235,4
166,72,187,4
167,72,173,1
168,72,175,2
169,72,170,1
170,72,282,3
171,72,64,2
172,73,238,4
173,73,258,4
174,73,55,2
175,73,13,1
176,73,278,1
177,73,176,1
178,73,139,3
179,70,182,2
180,73,50,1
181,70,198,4
182,69,253,2
183,65,168,1
184,65,192,2
185,65,111,4
186,65,103,1
187,65,82,4
188,66,1,4
189,1628,92,3
190,1628,255,4
191,1628,284,3
192,1630,245,2
193,68,3,3
194,68,57,2
195,69,35,4
196,69,94,3
197,65,271,1
198,74,69,3
199,44,128,1
200,44,246,4
201,44,71,1
202,44,7,1
203,44,186,3
204,44,175,4
205,46,115,1
206,47,259,1
207,47,219,3
208,47,272,2
209,74,2,2
210,41,189,3
211,74,147,1
212,74,25,1
213,74,82,4
214,60,149,4
215,60,209,1
216,60,176,4
217,60,264,2
218,60,9,1
219,60,223,3
220,60,116,4
221,67,112,3
222,67,131,4
223,67,98,2
224,67,45,2
225,59,116,2
226,59,66,2
227,48,74,1
228,48,66,2
229,41,220,1
230,7,128,2
231,65,284,2
232,64,106,2
233,11,219,2
234,11,207,3
235,11,285,4
236,11,166,2
237,12,194,2
238,12,211,1
239,12,49,4
240,12,64,2
241,13,166,2
242,13,247,1
243,13,38,4
244,13,20,2
245,13,82,3
246,13,77,4
247,13,90,4
248,13,99,3
249,15,22,3
250,15,255,4
251,11,45,2
252,15,15,4
253,11,77,2
254,7,2,1
255,7,251,3
256,7,213,2
257,7,284,3
258,8,253,1
259,8,271,1
260,9,195,2
261,9,186,3
262,9,165,4
263,9,289,2
264,9,57,3
265,9,34,1
266,9,248,3
267,9,237,1
268,11,112,1
269,11,92,2
270,65,61,2
271,15,196,3
272,15,189,1
273,61,245,2
274,62,43,3
275,62,276,4
276,62,51,2
277,62,291,3
278,62,186,4
279,62,110,3
280,63,99,1
281,63,17,1
282,63,23,1
283,63,133,3
284,63,130,1
285,63,36,2
286,63,238,2
287,63,225,4
288,64,290,4
289,64,66,3
290,64,119,2
291,64,132,3
292,61,290,1
293,15,191,2
294,40,12,2
295,40,256,1
296,15,209,2
297,16,236,3
298,16,258,3
299,16,36,1
300,16,158,2
301,16,22,1
302,28,111,1
303,28,253,2
304,28,196,1
305,28,219,4
306,38,83,3
307,38,72,3
308,38,229,4
309,38,196,4
310,39,200,3
311,39,226,4
312,40,75,1
313,40,293,3
314,40,278,4
315,40,194,4
316,40,37,2
317,47,133,1
318,1639,216,2
319,1639,186,1
320,100,218,4
321,100,294,4
322,102,233,2
323,102,163,1
324,102,185,1
325,102,91,4
326,102,92,4
327,102,24,1
328,103,41,4
329,104,99,3
330,104,278,3
331,104,290,4
332,100,159,1
333,104,248,2
334,99,38,1
335,95,187,2
336,96,89,3
337,96,141,3
338,96,116,1
339,96,223,3
340,96,51,3
341,98,45,4
342,98,245,1
343,98,230,2
344,98,13,2
345,98,77,4
346,98,142,4
347,106,244,4
348,106,43,4
349,106,203,2
350,106,181,1
351,106,76,2
352,99,186,2
353,100,139,3
354,95,259,4
355,104,255,4
356,80,59,2
357,80,53,4
358,80,247,4
359,80,217,4
360,82,218,3
361,82,213,1
362,82,284,2
363,82,70,3
364,82,57,4
365,82,8,4
366,82,115,4
367,83,181,2
368,83,194,1
369,83,61,3
370,83,94,3
